S/NO,PHASE,NAME OF ANALYST,"DOCUMENT TYPE (book, Journal article, Report, Statutes, Newspaper)",TITTLE OF PUBLICATION,AUTHOR,APPLICABLE NOMENCLATURE(KEY NAME USED),YEAR OF PUBLICATION,NATIONALITY/ORIGIN/EXTRACTION OF AUTHOR,CONTINENT OF STUDY,SECTION OF THE ARTICLE ANALYSED,BRIEF DESCRIPTION OF THE ARTICLE,"DESCRIPTIVE TERMS/ADJECTIVES/ADJECTIVAL PHRASES (e.g. filthy, dirty, undesirable)",POSITIONALITY OF ARTICLE,USE OF STATISTICS,SOURCE OF STATISTICS,CITE 'UN-habitat 2003 STUDY ON SLUMS',"CATEGORISATION OF PUBLICATION( descriptive, diagnostic(identify problems), Prescriptive, theoretical)","Descriptive studies( nature of slums(conceptualization), health concerns, housing, water, sanitation, nutrition,land, approaches to slum Upgrading)","Diagnostic (strategies, policy gaps/challenges, tenure concerns, public health concerns, environmental concerns, marginalisation(inclusion, exclusion)]","Prescriptive[inclusivity/tackling marginalisation, slum upgrading/improvement, security improvement,","Theoretical( theories, liberal/neo-liberal theories, colonial/post colonial theories, political economy)",REFERENCE{MENDELEY},SOURCE/WEB LINK
11,I,Komollo+Elvis,Journal,How dynamic are slums? EO-based assessment of Kibera's morphologic transformation,"(Taubenböck & Kraff, 2019)",Slums,2019,European,European,Chapter 1,"The term slum is difficult to define, but if we see one, we know it. Definitions for slums are qualitative such as areas of people lacking, for example, durable housing or easy access to safe water. ·         The term slum is difficult to define but if we see one, we know it.",,Negative,No,-,No,Descriptive,,,,,,
12,I,Komollo+Elvis,Journal,The emergence of slums: A contemporary view on simulation models,"(Roy et al., 2014)",Slums,2014,North American,North American,Introduction,"The existence of slums or informal settlements is common to most cities of developing countries. Its role as single housing delivery mechanism has seriously challenged the popular notion held by policy makers, planners and architects. Today informality is a paradigm of city making and economic growth in Africa, Asia and Latin America. ·         The existence of slums is common to most cities of developing countries","Policy makers, planners & architects.

Informality.

Paradigm.",Negative,No,-,No,Descriptive,Informality,,,,,
13,I,Komollo+Elvis,Journal,Slums as expressions of social exclusion: Explaining the prevalence of slums in African countries,"(Arimah, 2011)",Slums,2011,Asian,Asian,Introduction,"One of the most enduring physical manifestations of social exclusion in African cities is the proliferation of slums and informal settlements. People living in these settlements experience the most deplorable living and environmental conditions. They are also excluded from participating in the economic social, political and cultural spheres of the city.·         Physical manifestations of social exclusion in African cities is the proliferation of slums.","Social exclusion.

Proliferation of slums.

Deplorable living.",Negative,No,-,No,Descriptive,Social Exclusion,,,,,
14,I,Komollo+Elvis,Journal,The study of slums as social and physical constructs: Challenges and emerging research opportunities,"(Mahabir et al., 2016)",Slums,2016,North American,North American,Chapter 1,"Over 1 billion people currently live in slums, with the number of slum dwellers only expected to grow in the coming decades. The vast majority of slums are located in and around urban centres in the less economically developed countries, which are also experiencing greater rates of urbanization compared with more developed countries. This rapid rate of urbanization is cause for significant concern given that many of these countries often lack the ability to provide the infrastructure adequate for the increasing influx of people into cities. ·         Majority of slums are located in and around urban centres in the less economically developed countries.","Influx of people.

Adequate infrastructure.",Negative,No,sampling,No,Descriptive,Conceptualization of slums,,,,,
15,I,Komollo+Elvis,Journal,Parameterizing the dynamics of slums,"(Wesolowski & Eagle, 2010)",Slums,2010,European,European,Chapter 1,"For the first time in history, more people live in cities than in the countryside. Our world is no longer simply going through the experience of urbanization. Our world has become urbanized. ... One billion people - or one in every three urban residents - now live in an urban slum, the vast majority of them in developing nations. As more individuals move into urban areas, slums and slum dwellers become more prominent.  ... Sociologists theorize that the majority of urban migration is filtered through slums and understanding the migration patterns is vital to understanding the growth of urban areas. ·         One in every three urban residents now live in an urban slum","Urban residents.

Urban migration.",Negative,No,sampling,No,Descriptive,Conceptualization of slums,,,,,
16,I,Komollo+Elvis,Journal,"Slums: perspectives on the definition, the appraisal and the management of an urban phenomenon","(Nuissl & Heinrichs, 2013)",Slums,2013,European,European,Chapter 1,"Today more than half of the world population lives in urban areas, a billion of whom dwell in informal settlements, often referred to as slumsOnly recently has it become widely acknowledged that the global number of slums and slum dwellers is so big that at present there is virtually no chance to overcome the slum phenomenon. The debate on the worlds slums has thus begun to contemplate systematic consolidation and upgrading of informal settlements with the objective of signing them over to the normal, official city, and how this can be achieved·         Recently it has become acknowledged that the global number of slums is so big that currently there is virtually no chance to overcome the slum phenomenon.","The slum phenomenon.

Systemic consolidation & upgrading of slums.",Negative,No,sampling,No,Descriptive,,,,Slum Phenomenon,,
17,I,Komollo+Elvis,Journal,A financial framework for reducing slums: lessons from experience in Latin America,"(Ferguson & Navarrete, 2003)",Slums,2003,European,European,Chapter 1,"slums have come to house such a significant proportion of the urban population in virtually all low-and middle-income nationsa combination of large-scale land development for housing and more efficient upgrading programmes and how these approaches can greatly reduce the proportion of people living in slums, thus contributing to the Millennium Development Goal of significantly improving the lives of at least 100 million slum dwellers by 2020. ·         Slums house a significant proportion of the urban population in low and middle income nations","Large-scale land development for housing.

More efficient upgrading programmes.",Negative,No,-,No,Descriptive,,,Large-Scale land development for housing,,,
18,I,Komollo+Elvis,Journal,"Slums of hope and slums of despair: Mobility and livelihoods in Nima, Accra","(Owusu et al., 2008)",Slums,2008,African,African,Introduction,"Slums are universally assumed to be the worst places for people to live in, and it is often taken for granted that the livelihood situations of slum communities are also uniform and homogenous. So pervasive is the latter idea that most studies examining the livelihood situations of slum communities do not compare the socio-economic and cultural differences within such communities. A distinctive feature of slum communities is the pursuance of multiple livelihood strategies that are tied to migration. However, the links between migration and livelihood situations in many slum communities have not been extensively examined. ·         Slums are universally assumed to be the worst places for people to live in.","Worst places.

Uniform & homogenous.

Multiple livelihood strategies.",Negative,No,-,No,Descriptive,Worst Places,,,,,
19,I,Komollo+Elvis,Journal,Mumbai slums since independence: Evaluating the policy outcomes,"(Bardhan et al., 2015)",Slums,2015,Asian,Asian,Chapter 1,"The urbanization process in Mumbai is closely integrated with housing crisis and informality in settlement growth. Slums have emerged as a significant settlement form, catering to the housing demand of a large section of the population of Mumbai, primarily for the urban poor. Statistics show that nearly half of the Mumbai population lives in slum areas which in turn spatially occupy a very small portion of the city.·         The urbanization process is closely integrated with housing crisis and informality in settlement growth.","Housing crisis. 

Informality in settlement growth.",Negative,No,-,No,Descriptive,,Housing Crisis,,,,
20,I,Komollo+Elvis,Journal,Identification of Factors for Growth of Slum: Case Study 'Jyoti Nagar'Slum Raipur,"(Bandyopadhyay & Agrawal, 2013)",Slums,2013,Asian,Asian,Introduction,"Slums are considered to be the major issue within many urban areas; particularly problems related to transportation, population, health and safety. Considering todays poor urban environmental quality in India, the majority of families affected by urban development projects are located in slum areas which are under consideration for resettlement and/ or rehabilitation.·         Slums are associated with problems related to transportation, population, health and safety.",Slums are associated with problems.,Negative,No,-,No,Descriptive,Problematic,,,,,
21,I,Komollo+Elvis,Journal,Linking Poverty and the Environment: Evidence from Slums in Philippine Cities,"(Ballesteros, 2010)",Slums,2010,European,European,Introduction,"Rapid urbanization and the inadequate infrastructure and basic services in large towns and cities have led to the proliferation of slums and informal settlements. These slum dwellers and informal settlers confront on a daily basis another dimension of poverty which is environmental poverty. The underserviced and bad living conditions in slums impact on health, livelihood, and the social fiber. The effects of urban environmental problems and threats of climate change are also most pronounced in slums due to their hazardous location, poor air pollution and solid waste management, weak disaster risk management, and limited coping strategies of households. Bad living environment thus deepens poverty, increases the vulnerability of both the poor and non-poor living in slums, and excludes the slum poor from growth.·         Rapid urbanization and the inadequate infrastructure and basic services in large towns and cities have led to the proliferation of slums.","Environmental poverty.

Effects of urban environmental problems. 

Threats of climate change.",Negative,No,-,No,Descriptive,,Environmental Poverty,,,,
22,I,Komollo+Elvis,Journal,Slums and pandemics,"(Brotherhood et al., 2020)",Slums,2020,North American,North American,Chapter 1,"Slum dwellers account for a disproportionately high number of infections and deaths. In a counterfactual scenario without slums, deaths fall overall but increase in non-slum neighborhoods. Policy simulations indicate that: reallocating medical resources cuts deaths and raises output and the welfare of both groups; mild lockdowns favor slum individuals by mitigating the demand for hospital beds whereas strict confinements mostly delay the evolution of the pandemic.·         Slum dwellers account for a disproportionately high number of infections and deaths.",Infections and deaths.,Negative,No,-,No,Descriptive,,Health Concerns,,,,
23,I,Komollo+Elvis,Journal,Elements of an economic model for slums in a developing economy,"(Frankenhoff, 1967)",Slums,1967,European,European,Chapter 1,"To be concerned with a model for slum development seems to contradict the root hatred of civilized peoples for the slum. The ideal city, we are told, is the slumless city. The slum is a cancer on the body social which should be removed as quickly as possible. This negative view, apart from the myths which it breeds, is legitimate but inadequate. ·         The ideal city, is the slumless city.","The ideal city.

The slumless city.

The slum is a cancer.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
24,I,Komollo+Elvis,Journal,Socio - Cultural Marginality: A Theory of Urban Slums and Poverty in India,"(Dsouza, 1979)",Slums,1979,African,African,Introduction,"The poor and the slum-dweller happen to be more or less the same people in the urban setting and therefore it is implied that one and the same theory may help to explain the problem of both poverty and slums. it is hypothesized that the problem exists because the poor and the slum-dwellers occupy marginal positions in the socio-cultural system of the community. It is concluded that for satisfactory solution of the problem in question, the poor and the slum-dwellers should be socially integrated into the community.·         The poor and the slum-dweller happen to be more or less the same people in the urban setting.","The poor.

The slum dweller.

The poor occupy marginal positions.",Negative,No,-,No,Descriptive,,Poverty,,,,
25,I,Komollo+Elvis,Journal,"Slums, Old and New","(Harrington, n.d.)",Slums,1960,North American,North American,Chapter 1,"It is clear now that postwar Americas greatest single social scandal has been its failure to provide adequate housing for low-income groups. The problem of slums in the postwar years, has become even more complicated with development of new public housing projects. For many of these have in their turn become what can only be described as income ghettos-centres for juvenile gangs, modern poor farms institutionalizing social disintegration. ·         In turn they have become what can only be described as income ghettos-centres for juvenile gangs, modern poor farms institutionalizing social disintegration.","income ghettos.

centres for juvenile gangs.

modern poor farms

institutionalizing social disintegration.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
26,I,Komollo+Elvis,Journal,Slums and squatters in Ankara: Case studies in four areas of the city,"(Drakakis-Smith, 1976)",Slums,1976,Asian,Asian,Introduction,"The general problem of having to provide, from very limited sources, for a vast influx of population from rural areas is represented by the need to provide for the new urban population a range of amenities and services. While governments struggle to provide some form of housing, often the response of the new inhabitants is faster and more effective, resulting in the establishment of considerable squatter colonies. Whether or not squatting becomes an accepted fact depends upon the specific situation and the degree of permanence of dwellings varying from city to city.·         Whether or not squatting becomes an accepted fact, it depends on the specific situation and the degree of permanence of dwellings varying from city to city.","Squatting.

Degree of permanence.",Negative,No,-,No,Descriptive,Persistence of slums,,,,,
27,I,Komollo+Elvis,Journal,The Risk of Tuberculosis among Populations Living in Slum Settings: a Systematic Review and Meta-analysis,"Ekaterina et.al, 2019",Slums,2004,North American,North American,Chapter 1,"The finished product of slum life has been many times described; emaciated, neurasthenic, ill-nourished, perhaps tuberculous, and certainly afflicted with many physical ailments. The adult man or woman of this adverse environment can rarely do a days work for a days wage. Unable to maintain satisfactory standard of living, the victim sinks deeper into the abyss. and the slum child seems naturally destined by the force of heredity to grow into an inefficient adult.·         The finished product of slum life as; emaciated, neurasthenic, ill-nourished, perhaps tuberculous, and afflicted with many physical ailments.",Slum life.,Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
28,I,Komollo+Elvis,Book,A study of slums in Hyderabad,"(Naidu, 1978)",Slums,1978,African,African,Chapter 1,"One hundred and six slums were identified in Hyderabad-Secunderabad in 1962, the number increased to 283 in 1972. The slum population during 1962-72 increased by 132.3 per cent, therefore there has been a threefold increase of slums in the twin cities. In so far as growth of the slum phenomena as is known today is associated with growth of modern industries... The phenomenal growth of slums in recent years can therefore be taken as a pointer to the much more serious slum situation which is likely to develop if left uncontrolled.·         The phenomenal growth of slums in recent years is likely to develop much more seriously if left uncontrolled.",phenomenal growth of slums.,Negative,No,sampling,No,Descriptive,Growth of slums,,,,,
29,I,Komollo+Elvis,Book,Some contributions of the income tax law to the growth and prevalence of slums,"(Sporn, 1959)",Slums,1959,European,European,Introduction,"our slums are still with us, nearly as extensive and every bit as unwholesome as ever. Not only is the progress toward slum clearance that has been made to date discouragingly close to nil, but no projection of the impact of present activities upon the existing supply of sub-standard housing, even assuming that this supply is not further augmented offers any hope of alleviation in the foreseeable future.·         Our slums are still with us.",Slum clearance.,Negative,No,-,No,Descriptive,,,Slum Clearance,,,
30,I,Komollo+Elvis,Journal,Getting a living in the slums of Victorian Kensington,"(Malcolmson, 1975)",Slums,1975,North American,North American,Chapter 1,"to escape from the noise, ding of the central areas of Victorian London, where poor and squalid enclaves could frequently be foundpoor people served definite economic function in West London. The poor communities provided a constant and convenient pool of labour to meet middle-class demands for various services.·         The poor communities provided a constant and convenient pool of labour to meet middle-class demands for various services.","Poor communities.

Pool of labor.

Middle-class.",Negative,No,-,No,Descriptive,,Poverty,,,,
31,I,Komollo+Elvis,Journal,Urban planning in Nigeria and the problem of slums,"(Okoye, 1979)",Slums,1979,African,African,Introduction,"in 1929 and in the second half of 1950s slum clearance schemes were carried out in Lagos. Nevertheless, it is very clear even to the most casual observer that these measures did not go very far towards providing that type of urban environment the quality of Nigerian urban environment has been very low and many Nigerians cities are known for their filth and squalor. In parts of the residential areas of the cities, poor building structures and poor sanitary conditions are combined with high room occupancy ratio, poverty and family disorganization to produce the residential slums.·         Slum clearance schemes.","Slum clearance schemes.

Filth and squalor.",Negative,No,-,No,Descriptive,,,Slum Clearance,,,
32,I,Komollo+Elvis,Journal,Life in the Slums of Calcutta,"(Weekly, 2012)",Slums,2012,Asian,Asian,Chapter 1,"Though slums are a major problem facing the city of Calcutta, very little study has been made of the nature of the slums which accommodate a third of the citys population. Consequently, important factors have been neglected in formulating solutions to problems of slums. A major characteristic of the slums is that they resemble rural centres in an urban milieu. They began as entry points for immigrants to the city, and tended to duplicate the closeness and structuring of social life in the village, even reflecting the earlier occupational background of the dwellers. Despite the insanitary conditions and crowding, life in them is generally well-organised, relatively free of serious crime and cooperative.·         Important factors have been neglected in formulating solutions to problems of slums.","resemble rural centres.

Slums are generally well-organised.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
33,I,Komollo+Elvis,Journal,"Slums, semi-slums, and super-slums","(Monson, 1955)",Slums,1955,European,European,Introduction,"The effects of overcrowding, squalor, filth and other aspects of slum housing on family welfare are well known. Poverty, bad housing, family breakdown and social disorganization form an all too familiar vicious circle. Children born and bred in the slums have the tensions and frustrations of their parents as a heritage; their own adulthood and the families they one day will have in turn bear the scars of their own childhood deprivations.·         The effects of overcrowding, squalor, filth and other aspects of slum housing on family welfare.","Slum housing.

Social disorganisation.

Vicious cycle.

Children born in slums.",Negative,No,-,No,Descriptive,,Housing Crisis,,,,
34,I,Komollo+Elvis,Journal,Old-time slums of Indianapolis,"(COTTMAN, 1911)",Slums,1911,North American,North American,Chapter 1,"It is said that Indianapolis is to-day, for a city of its size, exceptionally free from slum conditions. Whatever vice flourishes here makes at least a show of hiding its head and not flourishing itself in the more respectable quarters a quarter of a century ago open dives could be found in the very heart of the business districtthese were but overflow of a corruption that had long afflicted the town.·         Open dives (slums) were an overflow of a corruption that had long afflicted the town.",Corruption.,Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
35,I,Komollo+Elvis,Journal,"Slums and the Housing Act, 1930","(CLARKE, 1931)",Slums,1931,European,European,Chapter 1,It is a cause of deep disappointment to all those who are concerned with the removal of the appalling slums which still exist in our great cities the Great War has done very little to alleviate the slum problem. It cannot be too strongly urged that national and local policy should in every case be devoted not merely to the remedy of existing but also to the avoidance of future evils. The expenditure of much energy and money is necessary if existing evils are to be remedied and it would be sheer madness if the efforts to remove existing slums made fresh slums.·         It is a cause of deep disappointment to all those who are concerned with the removal of the appalling slums.,Alleviate the slum problem.,Negative,No,-,No,Descriptive,,,Slum Upgrading,,,
36,I,Komollo+Elvis,Journal,Family Planning choice behaviour in urban slums of Bangladesh: An econometric approach,"(Barkat et al., 1997)",Slums,1997,Asian,Asian,Introduction,"The size of the slum population being so large and the rate of growth of slums being so high are factors that have serious demographic implications -- not to mention important economic, social and public health implications -- which impact negatively on the country's development process. Although the Government has structured the health and family planning service delivery system for the benefit of the rural poor, it does not have a comparable infrastructure for the urban poor. NGOs are the primary service providers for the urban slum population. However, as noted by one study: ""NGO services are often selective, less than optimum, and their coverage is incomplete""·         The size and the rate of growth of the slum population have serious demographic, economic, social and public health implications which negatively impact the country's development process.","Slum population.

The Government.

Non-Governmental Organisations (NGOs)

Often selective.

Coverage incomplete.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
37,I,Komollo+Elvis,Journal,Development strategies for the slums of Lagos,"(Akom, 1984)",Slums,1984,African,African,Chapter 1,"The Encyclopedia Americana defines slums as segregated area of a city inhabited by the unemployed or low-income earners or the second-class citizens. It further describes slums as typically overcrowded with poor housing and high unemployment. slums are those portions of the city in which housing is crowded, neglected, deteriorated and often obsolete. slums as a residential area with an extreme condition of blight. ·         Slums as segregated areas of a city inhabited by the unemployed.","Segregated areas.

Low income earners.

Second-class citizens.

Poor housing.",Negative,No,-,No,Descriptive,,Segragated Areas,,,,
38,I,Komollo+Elvis,Journal,The progressives and the urban question: British and American responses to the inner city slums 1880-1920,"(Ward, 1984)",Slums,1984,European,European,Introduction,"This perspective argues that previous graphic conceptions of modern urban society, and especially of the inner city slums, emphasized the secondary consequences rather than the primary causes of poverty. This emphasis not only deflected attention from the more complex and discrete distributions of social problems within the slums but also obscured some of the adaptations of their residents to their immediate predicament.·         Attention deflected from the more complex and discrete distributions of social problems within the slums.",,Negative,No,,No,Descriptive,,,,,,
39,I,Komollo+Elvis,Book,Poverty amidst prosperity: Survey of slums,"(Agnihotri, 1994)",Slums,1994,Asian,Asian,Introduction,Homeless people with very low income have formed a new segment of society and are called slum-dwellers. Birth and death rates are highest here resulting in lower economic productivity and lower standards of living. An average slum dweller is a vegetarian but cannot afford to buy vegetables daily. It is the low quality of food that makes people turn to liquor. There is a link between overcrowding and rates of crime. Physically degraded slums are also socially degraded. ·         Homeless people with very low income have formed a new segment of society and are called slum-dwellers.,"Homeless people.

Slum-dwellers.

Physically degraded.

Socially degraded.

High mortality rates.",Negative,No,-,No,Descriptive,,Housing Crisis,,,,
40,I,Komollo+Elvis,Journal,"Does slum formalisation without title provision stimulate housing improvement? A case of slum declaration in Pune, India","(Nakamura, 2017)",Slums,2017,African,African,Chapter 1,"Though previous studies have examined how formalising land tenure affects housing improvements in informal settlements, the role of tenure security and its long-term influence remain unclear. In response, this paper quantitatively examines the extent to which formalising land tenure by way of slum declaration has stimulated housing improvements during the last three decades in the slums of Pune, India. ·         Formalising land tenure affects housing improvements in informal settlements.","Land tenure.

Informal settlements.

Slum declaration.",Negative,No,-,No,Descriptive,,Land Tenure Concerns,,,,
41,I,Komollo+Elvis,Journal,"Risk correlates of diarrhoea in children under 5 years of age in slums of Bankura, West Bengal","(Pal et al., 2015)",Slums,2015,Asian,Asian,Chapter 1,"In urban slums, not only the housing space is found to be very inadequate, denying minimum norms of privacy but there is also found extreme shortage of essential amenities like water and sanitation. In addition to this, stagnant pool of water and open drains as a regular phenomenon, degenerate the whole urban environmental let-up and create pollution. Improper disposal of garbage in the locality makes the already unhealthy living worst. Common toilets are shared by hundreds of families. These common toilets are also not properly maintained. A long queue is seen in morning and evening waiting their turn for water and toilet facilities. This characteristic feature is not only visible in the slums but also in congested localities of all the mega cities.·         Denial of minimum norms of privacy","Minimum norms of privacy.

Pollution.

Congested localities.

unhealthy living.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
42,I,Komollo+Elvis,Journal,"Cities, slums and gender in the global south: Towards a feminised urban future","(Chant & McIlwaine, 2015)",Slums,2015,European,European,Chapter 1,"The shift from a city-level focus to one that specifically positions gender issues within slums, both in terms of land and housing, as well as economic activities, acknowledges the increasingly important connection between slums and informality in urban areas of Africa, Asia and Latin America. This demographic and theoretical construct not only reflects a post-problematisation of slums as dumping grounds, recapturing earlier conceptualisations of informal settlements as spaces of promise and aspiration as well as sites of resistance.·         a post-problematisation of slums as dumping grounds.","A post-problematisation of slums.

spaces of promise and aspiration.

sites of resistance.",Negative,No,-,No,Descriptive,Problematic,,,,,
43,I,Komollo+Elvis,Journal,The economics of slums in the developing world,"(Marx et al., 2013)",Slums,2013,European,European,Chapter 1,"Perhaps not surprisingly, the identification of slum inhabitants suffers from the lack of a consistent terminology for example, slums and squatter settlements are used almost interchangeably, although tenure and ownership institutions vary greatly across informal settlements. UN-Habitat applies the notion of slum household to any household lacking access to improved water, improved, sanitation, sufficient living area, durable housing, and secure tenure. Slum areas are generally thought of as geographic areas accommodating informal residents that combine several of these characteristics.·         Lack of a consistent terminology for identification slum inhabitants.","slum inhabitants.

squatter settlements.",Negative,No,-,No,Descriptive,Conceptualization of slums,,,,,
44,I,Komollo+Elvis,Journal,Slums from space15 years of slum mapping using remote sensing,"(M Kuffer et al., 2016)",Slums,2016,European,European,Introduction,"Characterized by overcrowding, poverty, social complexities and hazardous living environment. These conditions affect the health of people living in these slums. ·         Expand at an exponential rate",hazardous living environment.,Negative,No,-,No,Descriptive,,Hazaredous Living Environment,,,,
45,I,Komollo+Elvis,Journal,Strategic actions of urban development to define the intervention policies of slums,"(Ragheb & El-Ashmawy, 2021)",Slums,2021,Asian,Asian,Introduction,Slums are a problem experienced by most developing countries. They shape real disruption in the social and economic development plans of counties involved.·         Slums are unplanned areas that are not included in the zoning areas.,"Disruption of social and economic development plans.

unplanned areas.

Negligence.",Negative,No,-,No,Descriptive,,Unplanned Areas,,,,
46,I,Komollo+Elvis,Journal,"Immunization, urbanization and slumsa systematic review of factors and interventions","(Crocker-Buque et al., 2017)",Slums,2017,European,European,Chapter 1,The trend of urbanization has led to increasing number of people residing in slums and urban poor communities. These poor communities in urban areas are characterized by poor immunization coverage which are liked to socio economic factors such as difficulty in accessing services and the physical distance to clinics.·         Low immunization rates.,"urban poor communities.

 poor immunization coverage.",Negative,No,-,No,Descriptive,,Poverty,,,,
